,business_id,income,tax_paid,agg_deduc,deduc_1,deduc_2,deduc_16,deduc_17
2010Q1,52586982,252842.22,33154.88,71900.52,36309.41,35591.11,0.0,0.0
2009Q4,52586982,279413.25,38071.21,63912.34,33177.52,30734.82,0.0,0.0
2009Q3,52586982,286457.24,45515.29,87951.25,42012.57,45938.68,0.0,0.0
2009Q2,52586982,308111.81,71168.45,11787.73,10677.11,1110.62,0.0,0.0
2009Q1,52586982,196304.68,26332.37,14391.72,8155.54,6236.17,0.0,0.0
2008Q4,52586982,294637.46,48998.17,79686.76,27959.08,51727.68,0.0,0.0
2008Q3,52586982,340535.59,69369.74,84467.02,41408.45,43058.57,0.0,0.0
2008Q2,52586982,119684.28,2876.47,23048.92,0.0,23048.92,0.0,0.0
2008Q1,52586982,283043.71,48328.62,52297.0,52297.0,0.0,0.0,0.0
2007Q4,52586982,332161.81,59796.06,132711.31,0.0,132711.31,0.0,0.0
2007Q3,52586982,284558.42,42174.97,65956.85,43339.84,22617.01,0.0,0.0
2022Q4,85381792,218944.35,20425.12,69938.5,33271.91,36666.59,0.0,0.0
2022Q3,85381792,347756.75,78511.18,53201.04,32052.38,21148.66,0.0,0.0
2022Q2,85381792,194617.72,20992.42,22293.3,7750.23,1485.5,0.0,13057.56
2022Q1,85381792,278121.07,44566.75,86035.89,37674.74,48361.15,0.0,0.0
2021Q4,85381792,327380.66,63643.47,74125.23,46632.9,27492.33,0.0,0.0
2021Q3,85381792,217457.72,29476.12,27667.42,9701.11,17966.3,0.0,0.0
2021Q2,85381792,364416.59,85429.35,62603.56,34824.94,27778.62,0.0,0.0
2021Q1,85381792,429970.74,124378.76,83978.33,71438.76,12539.58,0.0,0.0
2020Q4,85381792,5853.26,0.0,1645.11,699.06,946.05,0.0,0.0
2020Q3,85381792,208693.65,23304.33,23903.38,23903.38,0.0,0.0,0.0
2020Q2,85381792,197725.16,17352.91,62952.55,46512.84,16439.71,0.0,0.0
2020Q1,85381792,268905.34,35617.56,98875.18,85654.58,13220.59,0.0,0.0
2022Q4,83035407,5566.5,0.0,570.18,321.49,248.69,0.0,0.0
2022Q3,83035407,454091.91,150722.39,35245.49,35245.49,0.0,0.0,0.0
2022Q4,75379848,315914.77,59776.91,72555.35,50852.43,21702.92,0.0,0.0
2022Q3,75379848,416372.4,108333.92,122329.12,0.0,122329.12,0.0,0.0
2022Q2,75379848,232528.27,23015.93,77728.75,77728.75,0.0,0.0,0.0
2022Q1,75379848,184820.88,16542.15,27343.14,0.0,0.0,0.0,0.0
2022Q4,70371104,122792.18,2669.95,42791.7,19365.38,23426.33,0.0,0.0
2022Q3,70371104,144515.93,4444.84,73775.68,65930.65,7845.03,0.0,0.0
2022Q2,70371104,292113.11,36183.12,126419.96,126419.96,0.0,0.0,0.0
2022Q1,70371104,136397.86,4846.91,44352.55,44352.55,0.0,0.0,0.0
2021Q4,70371104,152896.36,9934.14,21152.87,21152.87,0.0,0.0,0.0
2021Q3,70371104,213939.16,26344.5,15067.12,15067.12,0.0,0.0,0.0
2021Q2,70371104,346697.23,80611.83,51241.11,36186.37,15054.73,0.0,0.0
2021Q1,70371104,121750.82,2291.21,50823.66,25088.46,25735.2,0.0,0.0
2020Q4,70371104,129888.45,3499.57,49855.68,0.0,49855.68,0.0,0.0
2020Q3,70371104,120151.88,2586.1,27160.66,0.0,27160.66,0.0,0.0
2020Q2,70371104,339578.3,66697.69,68857.74,34566.35,34291.39,0.0,0.0
2020Q1,70371104,163502.73,10520.63,42787.72,14710.01,28077.71,0.0,0.0
2019Q4,70371104,260302.31,34515.38,86512.71,86512.71,0.0,0.0,0.0
2019Q3,70371104,274238.14,57228.68,29667.95,17204.08,12463.87,0.0,0.0
2019Q2,70371104,234763.81,31504.03,39071.0,39071.0,0.0,0.0,0.0
2019Q1,70371104,213509.13,20272.15,80674.36,80674.36,0.0,0.0,0.0
2018Q4,70371104,310921.65,66745.51,53098.02,53098.02,0.0,0.0,0.0
2018Q3,70371104,247877.65,38469.79,20213.76,11022.23,9191.54,0.0,0.0
2018Q2,70371104,268879.95,46357.28,26273.25,19619.24,6654.02,0.0,0.0
2018Q1,70371104,210344.92,24292.22,40713.13,17039.58,23673.54,0.0,0.0
2017Q4,70371104,385038.89,100421.13,58776.81,24598.14,34178.66,0.0,0.0
2017Q3,70371104,242997.16,33461.45,66645.4,27472.4,39173.0,0.0,0.0
2017Q2,70371104,189338.85,12166.96,85058.66,85058.66,0.0,0.0,0.0
2017Q1,70371104,334068.29,79721.34,34041.5,12735.66,21305.83,0.0,0.0
2016Q4,70371104,334499.27,78970.86,26476.2,15099.14,11377.06,0.0,0.0
2016Q3,70371104,314191.64,70899.99,32696.28,18667.0,14029.28,0.0,0.0
2016Q2,70371104,493173.25,154598.22,46844.95,28970.72,17874.23,0.0,0.0
2016Q1,70371104,306821.31,53342.45,72070.7,49462.84,22607.85,0.0,0.0
2015Q4,70371104,394873.13,83503.51,122577.82,122577.82,0.0,0.0,0.0
2015Q3,70371104,165952.68,12424.55,20877.1,0.0,20877.1,0.0,0.0
2015Q2,70371104,216870.91,29322.95,21812.98,16113.78,5699.2,0.0,0.0
2015Q1,70371104,140102.72,6970.77,11658.5,0.0,0.0,0.0,0.0
2014Q4,70371104,323804.19,57837.29,91857.23,91857.23,0.0,0.0,0.0
2014Q3,70371104,131855.32,5822.78,14525.15,4778.81,9746.34,0.0,0.0
2014Q2,70371104,346200.05,71754.84,68066.15,66857.52,1208.62,0.0,0.0
2014Q1,70371104,224421.0,28230.94,21473.46,0.0,21473.46,0.0,0.0
2013Q4,70371104,226657.75,28970.77,51772.32,51772.32,0.0,0.0,0.0
2013Q3,70371104,51157.02,0.0,9176.18,6241.58,2934.6,0.0,0.0
2013Q2,70371104,254363.2,38758.23,36589.35,33213.41,3375.93,0.0,0.0
2013Q1,70371104,253305.72,32247.76,96395.91,96395.91,0.0,0.0,0.0
2012Q4,70371104,139828.34,6358.73,15654.73,15654.73,0.0,0.0,0.0
2012Q3,70371104,277212.89,46690.81,52992.12,52992.12,0.0,0.0,0.0
2012Q2,70371104,50218.33,0.0,25221.03,5150.78,1246.87,0.0,18823.38
2012Q1,70371104,321658.77,69863.52,39616.16,39616.16,0.0,0.0,0.0
2011Q4,70371104,367029.61,86677.14,61079.35,36559.49,24519.86,0.0,0.0
2011Q3,70371104,139065.01,7204.74,9322.49,5461.09,3861.4,0.0,0.0
2011Q2,70371104,272478.57,40199.74,82922.34,82922.34,0.0,0.0,0.0
2011Q1,70371104,114479.13,1865.17,20609.62,12149.62,8459.99,0.0,0.0
2010Q4,70371104,140867.11,6732.57,24024.7,24024.7,0.0,0.0,0.0
2010Q3,70371104,210380.97,20620.0,72142.57,31366.79,40775.78,0.0,0.0
2010Q2,70371104,145207.35,5789.52,46820.37,24364.81,22455.56,0.0,0.0
2010Q1,70371104,219566.22,24671.66,64989.58,64989.58,0.0,0.0,0.0
2009Q4,70371104,246211.43,39759.42,37562.72,18122.42,19440.3,0.0,0.0
2009Q3,70371104,252069.04,27021.63,110237.67,61344.07,48893.6,0.0,0.0
2009Q2,70371104,121058.13,3093.33,30783.84,15900.53,14883.31,0.0,0.0
2009Q1,70371104,232684.48,29676.18,51889.09,28463.65,23425.44,0.0,0.0
2008Q4,70371104,151925.26,8141.14,39117.84,31318.31,7799.53,0.0,0.0
2008Q3,70371104,224326.99,35607.21,4546.04,4546.04,0.0,0.0,0.0
2008Q2,70371104,85697.66,0.0,4182.59,3403.63,778.96,0.0,0.0
2008Q1,70371104,332985.53,63922.81,87803.29,38331.03,49472.26,0.0,0.0
2007Q4,70371104,290963.78,55839.15,36920.16,36920.16,0.0,0.0,0.0
2007Q3,70371104,191056.87,19053.51,28968.82,16254.71,12714.11,0.0,0.0
2007Q2,70371104,243691.4,41636.52,26276.32,19186.76,7089.56,0.0,0.0
2007Q1,70371104,305337.85,65420.74,30199.81,24188.14,6011.66,0.0,0.0
2006Q4,70371104,178668.66,20143.72,10545.8,3928.74,6617.06,0.0,0.0
2006Q3,70371104,201199.42,24615.29,29299.43,12238.83,17060.61,0.0,0.0
2006Q2,70371104,187071.19,18054.81,49798.83,49798.83,0.0,0.0,0.0
2006Q1,70371104,133677.4,4329.83,46148.8,33780.62,12368.18,0.0,0.0
2005Q4,70371104,241630.38,28848.46,90000.78,83270.88,6729.89,0.0,0.0
2005Q3,70371104,76786.52,0.0,11169.22,11169.22,0.0,0.0,0.0
2005Q2,70371104,270288.24,50419.09,21928.04,21928.04,0.0,0.0,0.0
2005Q1,70371104,410001.91,98048.07,114759.34,0.0,0.0,0.0,0.0
2004Q4,70371104,154173.48,8979.79,33260.94,32533.58,727.36,0.0,0.0
2004Q3,70371104,126667.13,3875.9,22817.41,22817.41,0.0,0.0,0.0
2004Q2,70371104,277276.88,38663.54,87146.75,81675.32,5471.43,0.0,0.0
2004Q1,70371104,413478.3,95514.76,123271.72,0.0,123271.72,0.0,0.0
2003Q4,70371104,324874.58,67879.09,62182.61,29059.03,33123.58,0.0,0.0
2003Q3,70371104,171521.96,12246.82,33075.58,20417.64,12657.94,0.0,0.0
2003Q2,70371104,194735.27,15783.82,66821.88,33823.11,32998.77,0.0,0.0
2003Q1,70371104,260970.64,38770.14,72771.53,29795.32,42976.21,0.0,0.0
2002Q4,70371104,363604.65,94921.65,35608.21,35608.21,0.0,0.0,0.0
2002Q3,70371104,292044.52,48891.42,83918.48,42901.99,41016.49,0.0,0.0
2002Q2,70371104,225163.84,26200.91,61579.21,36590.21,24989.0,0.0,0.0
2002Q1,70371104,117564.1,2719.52,8793.11,2866.73,1528.96,0.0,4397.42
2001Q4,70371104,169806.86,8259.32,82267.99,37319.58,44948.42,0.0,0.0
