FieldText,isPII,isCalc
part ll 8 if you are registered with the kansas department of revenue under any other kansas tax act enter all registration or license numbers on the applicable line - d other; specify contd 2,0,0
part lll name of corporation,0,0
part lll employer id number,0,0
part lll name of corporation 2,0,0
part lll employer id number 2,0,0
part lll employer id number 3,0,0
part lll name of corporation 3,0,0
part iv 1 taxes on or measured byb income or fees pr payments in lieu of income taxes include federal environmental tax; itemize - amount,0,0
part iv 1 taxes on or measured byb income or fees pr payments in lieu of income taxes include federal environmental tax; itemize,0,0
part iv 1 taxes on or measured byb income or fees pr payments in lieu of income taxes include federal environmental tax; itemize - amount 2,0,0
part iv 1 taxes on or measured byb income or fees pr payments in lieu of income taxes include federal environmental tax; itemize 2,0,0
part iv 1 taxes on or measured byb income or fees pr payments in lieu of income taxes include federal environmental tax; itemize - amount 3,0,0
part iv 1 taxes on or measured byb income or fees pr payments in lieu of income taxes include federal environmental tax; itemize 3,0,0
taxes on or measured byb income or fees pr payments in lieu of income taxes include federal environmental tax; itemize - amount 4,0,0
taxes on or measured byb income or fees pr payments in lieu of income taxes include federal environmental tax; itemize 4,0,0
part iv 2 total - enter on line 3 page 1,0,0
part iv 3 total other taxes,0,0
part iv 4 total taxes - must equal line 17 on the federal return,0,0
part iv 1 us interest income - describe type,0,0
part iv 1 us interest income - amount,0,0
part iv 1 us interest income - amount 2,0,0
part iv 1 us interest income - describe type 2,0,0
part iv 1 us interest income - amount 3,0,0
part iv 1 us interest income - describe type 3,0,0
part iv 1 us interest income - amount 4,0,0
part iv 1 us interest income - describe type 4,0,0
part iv 2 total enter on line 7 page 1,0,1
part iv 3 total other interest income,0,0
part iv 4 total interest income - must equal line 5 of the federal return,0,1
name as shown on form k-120,0,0
part vi a (1) inventory - total company - end of year,0,0
part vi a (1) inventory - within kansas - beginning of year,0,0
part vi a (1) inventory - total company - beginning of year,0,0
part vi a (1) inventory - within kansas - end of year,0,0
part vi a (1) depreciable assets - within kansas - end of year,0,0
part vi a (1) depreciable assets - total company - end of year,0,0
part vi a (1) depreciable assets - total company - beginning of year,0,0
part vi a (1) depreciable assets - within kansas - beginning of year,0,0
part vi a (1) land - total company - beginning of year,0,0
part vi a (1) land - within kansas - beginning of year,0,0
part vi a (1) land - within kansas - end of year,0,0
part vi a (1) land - total company - end of year,0,0
part vi a (1) other tangible assets - within kansas - beginning of year - enclose schedule,0,0
part vi a (1) other tangible assets - total company - end of year - enclose schedule,0,0
part vi a (1) other tangible assets - within kansas - end of year - enclose schedule,0,0
part vi a (1) other tangible assets - total company - beginning of year - enclose schedule,0,0
part vi a (1) less: construction in progress - within kansas - end of year,0,0
part vi a (1) less: construction in progress - total company - end of year,0,0
part vi a (1) less: construction in progress - within kansas - beginning of year,0,0
part vi a (1) less: construction in progress - total company - beginning of year,0,0
part vi a (1) total property to be averaged - total company - end of year,0,1
part vi a (1) total property to be averaged - total company - beginning of year,0,1
part vi a (1) total property to be averaged - within kansas - end of year,0,1
part vi a (1) total property to be averaged - within kansas - beginning of year,0,1
part vi a (1) average owned property: beg + end divided by 2 - total company - end of year,0,1
part vi a (1) average owned property: beg + end divided by 2 - within kansas - end of year,0,1
part vi a (2) net annual rented property; multipled by 8 - within kansas - end of year,0,0
part vi a (2) net annual rented property; multipled by 8 - total company - end of year,0,0
part vi a (2) total property - total company - end of year,0,0
part vi a (2) total property - within kansas - end of year,0,0
part vi a (2) total property; enter on line 14a page 1 - percent within kansas,0,0
part vi b (1) compensation of officers - within kansas,0,0
part vi b (1) compensation of officers - total company,0,0
part vi b (2) wages; salaries and commissions - total company,0,0
part vi b (2) wages; salaries and commissions - within kansas,0,0
part vi b (3) payroll expense included in cost of goods sold - within kansas,0,0
part vi b (3) payroll expense included in cost of goods sold - total company,0,0
part vi b (4) payroll expense incldued in repairs - within kansas,0,0
part vi b (4) payroll expense incldued in repairs - total company,0,0
part vi b (5) other wages and salaries - within kansas,0,0
part vi b (5) other wages and salaries - total company,0,0
part vi b (5) total payroll - within kansas,0,0
part vi b (5) total payroll - total company,0,0
part vi b (5) total payroll; enter on line 14b page 1 - percent within kansas,0,0
part vi c sales; gross receipts; less returns and allowances - total company,0,0
part vi c (1)(a) shipped from outside kansas - within kansas,0,0
part vi c (1)(b) shipped from inside kansas - within kansas,0,0
part vi c (2)(a) the united states government - within kansas,0,0
part vi c (2)(b) purchasers in a state where the taxpayer would not be taxable - within kansas,0,0
part vi c (3) dividends - within kansas,0,0
part vi c (3) dividends - total company,0,0
part vi c (3) interest - within kansas,0,0
part vi c (3) interest - total company,0,0
part vi c (3) rents - total company,0,0
part vi c (3) rents - within kansas,0,0
part vi c (3) royalties - within kansas,0,0
part vi c (3) royalties - total company,0,0
part vi c (3) gains/losses from intangible asset sales - within kansas,0,0
part vi c (3) gains/losses from intangible asset sales - total company,0,0
part vi c (3) gross proceeds from tangible asset sales - within kansas,0,0
part vi c (3) gross proceeds from tangible asset sales - total company,0,0
part vi c (3) other income/enclose schedule - within kansas,0,0
part vi c (3) other income/enclose schedule - total company,0,0
part vi c (3) total sales - within kansas,0,0
part vi c (3) total sales; enter on line 14c page 1 - percent within kansas,0,0
part vi c (3) total sales - total company,0,0
part vi d (1) total percent - sum of lines a; b; and c if qualified and utilizing three-factor formula - percent within kansas,0,1
part vi d (2) total percent - sum of lines a and c if qualified and utilizing two-factor formula - percent within kansas,0,1
part vii 2b has any state determined this corp conducts or has conducted a unitary business with any other corp - yes,0,0
part vii 2b has any state determined this corp conducts or has conducted a unitary business with any other corp - no,0,0
part vii 1 does part vi inldue all sales delievered from kansas to the us gov and states,0,0
part vii 1 if not explain,0,0
part vii 3 describe biefly the nature and location(s) of your kansas business activities,0,0
part vii 1 if not explain; contd,0,0
part vii 3 describe biefly the nature and location(s) of your kansas business activities cont,0,0
part vii 4 are the amounts in the total company column the same as those reported in returns/reports to other states - yes,0,0
part vii 4 are the amounts in the total company column the same as those reported in returns/reports to other states - no,0,0
part vii 4 are the amounts in the total company column the same as those reported in returns/reports to other states - explain,0,0
part viii within kansas factors,0,0
part viii in total company factors,0,0
part viii name of corporation,0,0
part viii employer ein,0,0
part viii in total company factors2,0,0
part viii name of corporation2,0,0
part viii within kansas factors2,0,0
part viii employer ein2,0,0
part viii in total company factors3,0,0
part viii within kansas factors3,0,0
part viii name of corporation 3,0,0
part viii employer ein3,0,0
part viii within kansas factors4,0,0
part viii in total company factors4,0,0
part viii name of corporation4,0,0
part viii employer ein4,0,0
part viii within kansas factors5,0,0
part viii in total company factors5,0,0
part viii name of corporation5,0,0
part viii employer ein5,0,0
part viii in total company factors6,0,0
part viii within kansas factors6,0,0
part viii name of corporation6,0,0
part viii employer ein6,0,0
part viii within kansas factors7,0,0
part viii in total company factors7,0,0
part viii name of corporation7,0,0
part viii employer ein7,0,0
part viii in total company factors8,0,0
part viii name of corporation8,0,0
part viii within kansas factors8,0,0
part viii employer ein8,0,0
1. pass-through entity name,0,0
1. ein of pass-through entity,0,0
1. your entity to which income of pass-through is included,0,0
1. ein to which income of pass-through entity is included,0,0
1. principal product or services of pass-through entity,0,0
1. kansas operations - y or n,0,0
2. pass-through entity name,0,0
2. ein of pass-through entity,0,0
2. your entity to which income of pass-through is included,0,0
2. ein to which income of pass-through entity is included,0,0
2. principal product or services of pass-through entity,0,0
2. kansas operations - y or n,0,0
3. pass-through entity name,0,0
3. ein of pass-through entity,0,0
3. your entity to which income of pass-through is included,0,0
3. ein to which income of pass-through entity is included,0,0
3. principal product or services of pass-through entity,0,0
3. kansas operations - y or n,0,0
4. principal product or services of pass-through entity,0,0
4. ein to which income of pass-through entity is included,0,0
4. ein of pass-through entity,0,0
4. kansas operations - y or n,0,0
4. your entity to which income of pass-through is included,0,0
4. pass-through entity name,0,0
5. pass-through entity name,0,0
5. ein of pass-through entity,0,0
5. ein to which income of pass-through entity is included,0,0
5. principal product or services of pass-through entity,0,0
5. kansas operations - y or n,0,0
5. your entity to which income of pass-through is included,0,0
6. pass-through entity name,0,0
6. ein of pass-through entity,0,0
6. your entity to which income of pass-through is included,0,0
6. ein to which income of pass-through entity is included,0,0
6. principal product or services of pass-through entity,0,0
6. kansas operations - y or n,0,0
7. kansas operations - y or n,0,0
7. your entity to which income of pass-through is included,0,0
7. ein to which income of pass-through entity is included,0,0
7. pass-through entity name,0,0
7. ein of pass-through entity,0,0
7. principal product or services of pass-through entity,0,0
8. kansas operations - y or n,0,0
8. principal product or services of pass-through entity,0,0
8. ein to which income of pass-through entity is included,0,0
8. ein of pass-through entity,0,0
8. your entity to which income of pass-through is included,0,0
8. pass-through entity name,0,0
1. disregarded entity name,0,0
1. ein of disregarded entity,0,0
1. your entity to which income of disregarded is included,0,0
1. ein to which income of disregarded entity is included,0,0
1. principal product or services of disregarded entity,0,0
1. kansas operations - y or no,0,0
2. disregarded entity name,0,0
2. ein of disregarded entity,0,0
2. your entity to which income of disregarded is included,0,0
2. ein to which income of disregarded entity is included,0,0
2. principal product or services of disregarded entity,0,0
2. kansas operations - y or no,0,0
3. disregarded entity name,0,0
3. ein of disregarded entity,0,0
3. your entity to which income of disregarded is included,0,0
3. ein to which income of disregarded entity is included,0,0
3. principal product or services of disregarded entity,0,0
3. kansas operations - y or no,0,0
4. ein to which income of disregarded entity is included,0,0
4. ein of disregarded entity,0,0
4. principal product or services of disregarded entity,0,0
4. kansas operations - y or no,0,0
4. your entity to which income of disregarded is included,0,0
4. disregarded entity name,0,0
5. disregarded entity name,0,0
5. ein of disregarded entity,0,0
5. ein to which income of disregarded entity is included,0,0
5. principal product or services of disregarded entity,0,0
5. kansas operations - y or no,0,0
5. your entity to which income of disregarded is included,0,0
6. disregarded entity name,0,0
6. ein of disregarded entity,0,0
6. your entity to which income of disregarded is included,0,0
6. ein to which income of disregarded entity is included,0,0
6. principal product or services of disregarded entity,0,0
6. kansas operations - y or no,0,0
7. kansas operations - y or no,0,0
7. your entity to which income of disregarded is included,0,0
7. ein to which income of disregarded entity is included,0,0
7. disregarded entity name,0,0
7. ein of disregarded entity,0,0
7. principal product or services of disregarded entity,0,0
8. kansas operations - y or no,0,0
8. principal product or services of disregarded entity,0,0
8. ein to which income of disregarded entity is included,0,0
8. ein of disregarded entity,0,0
8. your entity to which income of disregarded is included,0,0
8. disregarded entity name,0,0
end date,0,0
begin date,0,0
720 fein,0,0
720 ky corp llet acct#,0,0
720 sec allet nonfiling stat code 2,0,0
720 sec allet nonfiling stat code 1,0,0
720 change of name checkbox,0,0
corp name,0,0
tax year end,0,0
number and street,1,0
sec b inc nonfiling stat code 1 ,0,0
sec b inc nonfiling stat code 2 ,0,0
sec b check box elective consolidated,0,0
state,1,0
phone,1,0
720 state of incorp,0,0
720 date of incorp,0,0
720 sec c amended checkbox,0,0
720 sec f name of common parent,0,0
720 sec f ky corp llet acct num,0,0
principal business activity,0,0
sec c amended r a r check box ,0,0
sec g check box initial return,0,0
sec g check box short period return,0,0
720 sec g checkbox change of accting period,0,0
sec g check box final return,0,0
sec h 3 factor code,0,0
720 naics code num,0,0
720 part 1 line 1,0,0
720 part 2 line 1,0,0
720 part 2 line 2,0,0
720 part 1 line 2,0,0
720 part 2 line 3,0,0
720 part 1 line 3,0,0
720 part 2 line 4,0,0
720 part 1 line 4,0,0
720 part 1 line 5,0,0
720 part 2 line 5,0,0
720 part 2 line 6,0,0
720 part 1 line 6,0,0
720 part 1 line 7,0,0
720 part 2 line 7,0,0
720 part 1 line 8,0,0
720 part 1 line 9,0,0
720 part 2 line 8,0,0
720 part 1 line 10,0,0
720 part 2 line 9,0,0
720 part 1 line 11,0,0
720 part 2 line 10,0,0
720 part 1 line 12,0,0
720 part 2 line 11,0,0
720 part 1 line 13,0,0
720 part 2 line 12,0,0
720 part 1 line 14,0,0
720 part 2 line 13,0,0
720 part 1 line 15,0,0
720 part 2 line 14,0,0
720 part 1 line 16,0,0
720 part 2 line 15,0,0
720 part 1 line 17,0,0
720 part 2 line 16,0,0
720 part 2 line 17,0,0
720 part 1 line 18,0,0
720 part 2 line 18,0,0
720 part 2 cents line 18,0,0
720 part 1 cents line 19,0,0
720 part 1 line 19,0,0
720 part 2 cents line 19,0,0
720 part 2 line 19,0,0
720 part 1 line 20,0,0
720 part 1cents line 20,0,0
720 part 1 line 21,0,0
720 part 2 line 20,0,0
720 part 1 line 22,0,0
720 part 1 cents line 22,0,0
720 spart 2 line 21,0,0
720 part 2 cents line 21,0,0
720 tax summary llet line 1,0,0
720 taxsummaryincome line 1,0,0
720 tax summary llet line 2,0,0
720 taxsummaryincome line 2,0,0
720 tax summary llet line 3,0,0
720 taxsummaryincome line 3,0,0
720 tax summary llet line 4,0,0
720 taxsummaryincome line 4,0,0
720 tax summary total payment,0,0
720 part 3 line 12,0,0
720 part 3 line 1,0,0
720 part 3 line 13,0,0
720 part 3 line 14,0,0
720 part 3 line 2,0,0
720 part 3 line 15,0,0
720 part 3 line 16,0,0
720 part 3 line 3,0,0
720 part 3 line 4,0,0
720 part 3 line 17,0,0
720 part 3 line 5,0,0
720 part 3 line 6,0,0
720 part 3 line 18,0,0
720 part 3 line 7,0,0
720 part 3 line 8,0,0
720 part 3 line 9,0,0
720 part 3 line 19,0,0
720 part 3 line 10,0,0
720 part 3 line 20,0,0
720 part 3 line 11,0,0
720 part 4 check box ceased operationin ky,0,0
720 part 4 check box change in filing status,0,0
720 part 4 check box change in ownership,0,0
720 part 4 check box merger,0,0
720 part 4 check box successorto previous business,0,0
part 4 check box other,0,0
720 s part 4 text other,0,0
part 5 text explanation,0,0
officer info changed check box no,0,0
officer info changed check box yes,0,0
presidents home address 1 ,1,0
presidents name,1,0
presidents home address 2 ,1,0
720 presidents ssn,1,0
presidents home address 3 ,1,0
date became president,1,0
officer date return signed,0,0
officer name,0,0
officer title,0,0
preparer date return signed,0,0
preparer or firm name preparing return,1,0
preparer id number,1,0
720 dor discussion check box yes,0,0
email address,1,0
720 dor discussion check box no,0,0
720 q#8 check box yes,0,0
720 q#8 check box no,0,0
720 q#8 line 1 voting stock ,0,0
720 q#8 line 2 voting stock ,0,0
720 q#1 (a) check box new business,0,0
720 q#1 (b) check box successor,0,0
720 q#8 line 3 voting stock ,0,0
720 q#1 (1) check box corp,0,0
720 q#1 (3) check box sole prop,0,0
720 q#1 (2) check box partnership,0,0
720 q#1 (4) check box other,0,0
720 q#1 (4) text box other,0,0
720 q#9 check box yes,0,0
720 q#9 check box no,0,0
720 q#9 line 1 voting stock owner,0,0
720 q#9 line 2 voting stock owner,0,0
720 q#1 line 1 previously existing business,0,0
720 q#9 line 3 voting stock owner,0,0
720 q#1 line 2 previously existing business,0,0
720 q#10 check box pro forma,0,0
720 q#10 check box copy of federal return,0,0
720 q#2 foreign corp ky start date,0,0
720 q#11 check box no,0,0
720 q#11 check box yes,0,0
q# 3 sec of state acct#,0,0
720 q#11 line 1 limited coop assoc,0,0
q# 3 employer wh acct#,0,0
720 q#11 line 2 limited coop assoc,0,0
q# 3 sales use permit acct#,0,0
720 q#11 line 3 limited coop assoc,0,0
720 q#3 consumer use tax acct #,1,0
720 q#3 unemployment ins acct #,1,0
720 q#3 coal sev process tax acct #,1,0
720 q#12 check box yes organized as trust,0,0
720 q#12 check box no organized as trust,0,0
720 q#4 line 1 books in care of,1,0
720 q#4 line 2 books in care of,1,0
720 q#4 line 3 books in care of,1,0
720 q#12 check box no statutory trust,0,0
720 q#12 check box yes statutory trust,0,0
720 q#5 check box yes,0,0
720 q#5 check box no,0,0
720 q#12 line 1 trust info,0,0
720 q#5 line 1 disregarded entities ,0,0
720 q#12 line 2 trust info,0,0
720 q#5 line 2 disregarded entities ,0,0
720 q#12 line 3 trust info,0,0
720 q#5 line 3 disregarded entities ,0,0
720 q#12 line 4 trust info,0,0
720 q#5 line 4 disregarded entities ,0,0
720 q#13 check box cash basis,0,0
720 q#13 check box accrual basis,0,0
720 q#5 line 5 disregarded entities ,0,0
720 q#13 check box other,0,0
720 q#13 text box other,0,0
720 q#5 line 6 disregarded entities,0,0
720 q#5 line 7 disregarded entities,0,0
720 q#5 line 8 disregarded entities,0,0
720 q#14 check box no tangible personal prop tax,0,0
720 q#14 check box yes tangible personal prop tax,0,0
720 q#5 line 9 disregarded entities,0,0
720 q#5 line 10 disregarded entities,0,0
720 q#14 line 1 tangible personal prop tax return info,0,0
720 q#14 line 2 tangible personal prop tax return info,0,0
720 q#6 (a) check box yes,0,0
720 q#6 (a) check box no,0,0
720 q#14 line 3 tangible personal prop tax return info,0,0
720 q#14 line 4 tangible personal prop tax return info,0,0
720 q#6 (a) line 1 pass through entity,0,0
720 q#14 line 5 tangible personal prop tax return info,0,0
720 q#6 (a) line 2 pass through entity,0,0
720 q#14 line 6 tangible personal prop tax return info,0,0
720 q#6 (a) line 3 pass through entity,0,0
720 q#14 line 7 tangible personal prop tax return info,0,0
720 q#6 (a) line 4 pass through entity,0,0
720 q#6 (a) line 5 pass through entity,0,0
720 q#6 (a) line 6 pass through entity,0,0
720 q#6 (a) line 7 pass through entity,0,0
720 q#6 (a) line 8 pass through entity,0,0
720 q#15 check box yes under irs audit,0,0
720 q#15 check box no under irs audit,0,0
720 q#6 (a) line 9 pass through entity,0,0
720 q#15text box years under irs audit,0,0
720 q#6 (b) check box no,0,0
720 q#6 (b) check box yes,0,0
720 q#15 check box yes irs adjustments,0,0
720 q#7 check box yes,0,0
720 q#7 check box no,0,0
sch l check box ,0,0
llet sec a col a line 1a,0,0
llet sec a col b line 1a,0,0
llet sec a col a line 2,0,0
llet sec a col b line 2,0,0
llet sec a col a line 3a,0,0
llet sec a col b line 3a,0,0
llet ksec a col a line 4,0,0
llet ksec a col b line 4,0,0
llet sec a col a line 5,0,0
llet sec a col b line 5,0,0
llet sec b line 1,0,0
llet sec b line 2,0,0
llet sec b line 3,0,0
llet secc line 1,0,0
llet secc line 2,0,0
llet secc line 3,0,0
llet secd line 1,0,0
deceased ind spouse,0,0
deceased ind taxpayer,0,0
beginning date,0,0
ending date,0,0
740 spouse ssn,1,0
740 primary ssn,1,0
740 name,1,0
street address 2 ,1,0
city state zip,1,0
filing status,0,0
amended check box ,0,0
pol party spouse,1,0
740 pol party tp,1,0
sfs 4 spouse name,1,0
740 line 5a,0,0
740 line 5b,0,0
740 line 6a,0,0
740 line 6b,0,0
740 line 7a,0,0
740 line 7b,0,0
740 line 8a,0,0
740 line 8b,0,0
740 line 9a,0,0
740 line 9b,0,0
740 line 10a,0,0
740 line 10b,0,0
740 line 11b,0,0
740 line 11a,0,0
sch j check box ,0,0
740 line 12b,0,0
740 line 12a,0,0
form 4972k check box ,0,0
sch rcr check box ,0,0
740 line 13a,0,0
740 line 13b,0,0
dsr check box ,0,0
angel check box ,0,0
740 line 14a,0,0
740 line 14b,0,0
740 line 15a,0,0
740 line 15b,0,0
740 line 16a,0,0
740 line 16b,0,0
740 line 17a,0,0
740 line 17b,0,0
740 line 18a,0,0
740 line 18b,0,0
